City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Shenjiamen,CN,2020-12-20 15:37:29,29.96,122.3,45.25,62,0,10.58
279,Santa Fe,AR,2020-12-20 15:37:23,-31.63,-60.7,80.01,31,0,8.01
280,Bereda,ES,2020-12-20 15:37:30,43.27,-7.54,53.01,92,87,10.0
281,Cienaga,CO,2020-12-20 15:37:30,11.01,-74.25,87.01,69,0,1.01
282,Tura,IN,2020-12-20 15:37:30,25.52,90.22,57.15,76,90,3.56
283,Pemangkat,ID,2020-12-20 15:37:30,1.17,108.97,78.31,85,100,6.93
284,Cavinti,PH,2020-12-20 15:37:30,14.24,121.51,80.6,83,75,8.05
285,Sainte-Marie,RE,2020-12-20 15:37:30,-20.9,55.55,78.8,78,0,17.22
286,Waingapu,ID,2020-12-20 15:37:31,-9.66,120.26,80.28,79,100,10.8
287,Castle Rock,US,2020-12-20 15:37:08,39.37,-104.86,33.01,43,82,1.99
288,Clyde River,CA,2020-12-20 15:37:31,70.47,-68.59,-2.2,84,90,14.99
289,Urla,TR,2020-12-20 15:37:31,38.32,26.76,53.6,76,80,5.82
290,Camacha,PT,2020-12-20 15:37:31,33.08,-16.33,66.2,72,40,2.24
291,Ushtobe,KZ,2020-12-20 15:37:31,45.25,77.98,23.74,96,100,11.03
292,Ambilobe,MG,2020-12-20 15:37:31,-13.2,49.05,76.55,93,100,1.66
293,Seydi,TM,2020-12-20 15:37:32,39.48,62.91,29.46,95,0,7.56
294,Hamilton,US,2020-12-20 15:36:42,39.18,-84.53,41.0,93,90,8.05
295,Necochea,AR,2020-12-20 15:37:32,-38.55,-58.74,61.0,64,100,4.0
296,Bezhanitsy,RU,2020-12-20 15:37:32,56.98,29.89,32.49,97,73,6.11
297,Tuatapere,NZ,2020-12-20 15:37:32,-46.13,167.68,46.0,92,100,1.01
298,Dudinka,RU,2020-12-20 15:37:32,69.41,86.18,-31.0,73,40,2.24
299,Isangel,VU,2020-12-20 15:37:32,-19.55,169.27,75.07,83,5,7.72
300,Natchez,US,2020-12-20 15:33:18,31.56,-91.4,51.8,100,90,4.7
301,Oistins,BB,2020-12-20 15:37:33,13.07,-59.53,80.6,83,40,20.8
